txid,vin,network,scriptHex,controlBlockHex,expected,blockHeight,source
f1de8d3b3894a7cc0efffa7332bf7236ad089195b9d642121f4844f13e01f1e0,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06fa2f17dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800337b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a2279756765222c22616d74223a223435227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjy0k38ms93wx8ufq2k4vwx75f7pralaeudwh0m8lqdrvwuwa23qsyc2wjw,787999,public-sample-v0.1.0
a2c71d01807340935e33af8e730fc816bbddbf9a113047fd0e5bc271bd63fded,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06fa2f17dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800337b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a2279756765222c22616d74223a223435227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjy0k38ms93wx8ufq2k4vwx75f7pralaeudwh0m8lqdrvwuwa23qsyc2wjw,787999,public-sample-v0.1.0
a13fbcab8152d2debf3ca311e21fcb629243aad4465e75169ed600342e9f9e9a,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06717404de8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d38000f5765206c6f76652063727970746f2e68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjs34lr8y3dp6k7uj6t503le8dtg30urh4u4alq4xg24ejnpjuj2qyyyyt2,787999,public-sample-v0.1.0
6f1a1e4d85e6a170a212e2a29020c1c1be0b08eec34a5fbae73ab726a2f7a594,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06fdea2cdd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800467b2270223a226272632d3230222c226f70223a226465706c6f79222c227469636b223a22e5b88131222c226d6178223a22313030303030222c226c696d223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p574h9lk09q9vmaalc6hlcd2mq9u88wvtppzkgl40ahx2p8n57jgqgslns7,787999,public-sample-v0.1.0
4f8aad33e6f5e9703af16b2fdc6885eb7a94eb04013e234981af72ca7da05431,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac067a9876dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a22676d676e222c22616d74223a2234303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p8vsj33k7ex508ypvdu9e0l80m7j7lruacsahy3jrws2gxvlxdd3qpr9732,787999,public-sample-v0.1.0
32b303ca6931384d28813ceacf23bde7b78bda1ddf47455e5e10750f582c6163,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06a46277dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a22676d676e222c22616d74223a2234303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pkjqeuj3f3s0ufr3993v3qz7ukvtt7plpkz8hcv5qtqk387qms9qqsnwnan,787999,public-sample-v0.1.0
da3c6b157194b0f489467db78b2301e158f08fa1ec9867bd6e4092509c1b67f4,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
6b06e8706cd41d7d54b62bbe66e22a2d02b5c3de1b945de9dbe839888b7a6bb1,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
aa6a0a6f74377b0b9ae6c90ef94b4359d9dfa17bdec9714cd4abea4a49696099,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
989c3f894501f615e4dbb2d481a4526c9f4954cb473be599c46e5073d4730477,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0622090ddd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pjwnvx88r0r6g77mwuh64mu36nxn92ryshczrv3ew6lyp7v9q2jqqxfsnf0,787999,public-sample-v0.1.0
